"id","created_at","updated_at","name","Seats_2023","Seats_2019"
1,2023-02-06 19:42:00,2023-02-06 19:42:00,"Stadt Zürich, Stadtkreise 1 und 2",5,5
2,2023-02-06 19:42:00,2023-02-06 19:42:00,"Stadt Zürich, Stadtkreise 3 und 9",12,12
3,2023-02-06 19:42:00,2023-02-06 19:42:00,"Stadt Zürich, Stadtkreise 4 und 5",5,5
4,2023-02-06 19:42:00,2023-02-06 19:42:00,"Stadt Zürich, Stadtkreise 6 und 10",8,9
5,2023-02-06 19:42:00,2023-02-06 19:42:00,"Stadt Zürich, Stadtkreise 7 und 8",6,6
6,2023-02-06 19:42:00,2023-02-06 19:42:00,"Stadt Zürich, Stadtkreise 11 und 12",12,12
7,2023-02-06 19:42:00,2023-02-06 19:42:00,"Dietikon",11,11
8,2023-02-06 19:42:00,2023-02-06 19:42:00,"Affoltern",7,6
9,2023-02-06 19:42:00,2023-02-06 19:42:00,"Horgen",15,15
10,2023-02-06 19:42:00,2023-02-06 19:42:00,"Meilen",12,12
11,2023-02-06 19:42:00,2023-02-06 19:42:00,"Hinwil",11,11
12,2023-02-06 19:42:00,2023-02-06 19:42:00,"Uster",16,16
13,2023-02-06 19:42:00,2023-02-06 19:42:00,"Pfäffikon",7,7
14,2023-02-06 19:42:00,2023-02-06 19:42:00,"Stadt Winterthur",13,13
15,2023-02-06 19:42:00,2023-02-06 19:42:00,"Winterthur-Land",7,7
16,2023-02-06 19:42:00,2023-02-06 19:42:00,"Andelfingen",4,4
17,2023-02-06 19:42:00,2023-02-06 19:42:00,"Bülach",18,18
18,2023-02-06 19:42:00,2023-02-06 19:42:00,"Dielsdorf",11,11
